exmp_name,sex,lab,strain,value,eslim_id,parameter_name
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007419355,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.011362007,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013185185,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015190311,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014654545,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.01379085,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015501618,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.0075,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.017296296,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.009716088,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013720137,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007479339,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007518519,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.008007663,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013436426,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015638298,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007245283,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012654545,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015211726,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013015873,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.01354386,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014569536,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014596491,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.011737452,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.007148289,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.012901961,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.009515571,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015084746,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.005720524,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015421687,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014078431,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014712644,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.0152,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014980545,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.01486692,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015543071,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.01234375,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013251748,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.013320463,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.006966292,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.015684932,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.01295203,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.016702899,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014589041,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.014895397,ESLIM_005_001_701,BMC/Body weight
HMGU ; male ; BMC/Body weight,male,HMGU,baseline,0.010346154,ESLIM_005_001_701,BMC/Body weight
